session_id,item_id,obs1_action,obs1_actor,obs1_recipient,obs2_action,obs2_actor,obs2_recipient,obs1,obs2,match
1,1,Ag,FUN,MUN,Ag,MUN,SAMUN,Ag_FUN_MUN,Ag_MUN_SAMUN,0
1,2,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
1,3,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
1,4,Ag,FUN,SAMUN,Ag,SAMUN,FUN,Ag_FUN_SAMUN,Ag_SAMUN_FUN,0
1,5,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
1,6,none,none,none,Gr,FUN,FUN,none_none_none,Gr_FUN_FUN,0
1,7,none,none,none,Ag,MUN,FUN,none_none_none,Ag_MUN_FUN,0
1,8,Ag,MUN,FUN,Su,MUN,MUN,Ag_MUN_FUN,Su_MUN_MUN,0
1,9,Ma,MUN,self,Ma,MUN,self,Ma_MUN_self,Ma_MUN_self,1
1,10,Su,FUN,MUN,Su,FUN,MUN,Su_FUN_MUN,Su_FUN_MUN,1
1,11,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
1,12,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
1,13,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
1,14,none,none,none,Ag,MUN,FUN,none_none_none,Ag_MUN_FUN,0
1,15,Gr,FUN,MUN,Gr,FUN,MUN,Gr_FUN_MUN,Gr_FUN_MUN,1
2,1,none,none,none,Ag,MUN,JVFUN,none_none_none,Ag_MUN_JVUN,0
2,2,none,none,none,Gr,MUN,FUN,none_none_none,Gr_MUN_FUN,0
2,3,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
2,4,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
2,5,Gr,FUN,MUN,Gr,FUN,MUN,Gr_FUN_MUN,Gr_FUN_MUN,1
2,6,Gr,FUN,MUN,none,none,none,Gr_FUN_MUN,none_none_none,0
2,7,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
2,8,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
2,9,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
2,10,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
2,11,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
2,12,Gr,JVUN,MUN,Gr,JVUN,MUN,Gr_JVUN_MUN,Gr_JVUN_MUN,1
2,13,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
2,14,Gr,JVUN,SAMUN,Gr,SAMUN,JVUN,Gr_JVUN_SAMUN,Gr_SAMUN_JVUN,0
2,15,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
2,16,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
2,17,M,MUN,JVFUN,M,MUN,JVFUN,M_MUN_JVUN,M_MUN_JVUN,1
2,18,Ag,MUN,JVFUN,Ag,MUN,FUN,Ag_MUN_JVUN,Ag_MUN_FUN,0
2,19,SGr,MUN,self,none,none,none,SGr_MUN_self,none_none_none,0
2,20,M,JVUN,FUN,M,JVUN,FUN,M_JVUN_FUN,M_JVUN_FUN,1
2,21,Ag,MUN,MUN,Su,MUN,MUN,Ag_MUN_MUN,Su_MUN_MUN,0
2,22,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
3,1,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
3,2,none,none,none,Ag,MUN,FUN,none_none_none,Ag_MUN_FUN,0
3,3,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
3,4,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
3,5,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
3,6,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
3,7,Ag,MUN,MUN,Ag,MUN,NA,Ag_MUN_MUN,Ag_MUN_NA,0
3,8,Su,MUN,MUN,Su,MUN,MUN,Su_MUN_MUN,Su_MUN_MUN,1
3,9,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
3,10,Ag,MUN,MUN,Ag,NA,NA,Ag_MUN_MUN,Ag_NA_NA,0
3,11,Ag,FUN,MUN,Ag,FUN,NA,Ag_FUN_MUN,Ag_FUN_NA,0
4,1,none,none,none,M,NA,NA,none_none_none,M_NA_NA,0
4,2,none,none,none,Ag,MUN,JVUN,none_none_none,Ag_MUN_JVUN,0
4,3,Ag,FUN,JVUN,Ag,MUN,JVMUN,Ag_FUN_JVUN,Ag_MUN_JVUN,0
4,4,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
4,5,Ag,MUN,FUN,Ag,MUN,MUN,Ag_MUN_FUN,Ag_MUN_MUN,0
4,6,SGr,MUN,self,none,none,none,SGr_MUN_self,none_none_none,0
4,7,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
4,8,Ag,MUN,FUN,Ag,MUN,NA,Ag_MUN_FUN,Ag_MUN_NA,0
4,9,none,none,none,Ag,FUN,MUN,none_none_none,Ag_FUN_MUN,0
4,10,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
4,11,Su,MUN,NA,Su,MUN,MUN,Su_MUN_NA,Su_MUN_MUN,0
4,12,Ag,MUN,JVFUN,Ag,MUN,JVMUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
4,13,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
4,14,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
4,15,Ag,MUN,MUN,none,none,none,Ag_MUN_MUN,none_none_none,0
4,16,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
4,17,Su,MUN,MUN,Su,MUN,MUN,Su_MUN_MUN,Su_MUN_MUN,1
4,18,Ag,MUN,FUN,Ag,MUN,JVUN,Ag_MUN_FUN,Ag_MUN_JVUN,0
4,19,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
4,20,Ag,MUN,INFANT,none,none,none,Ag_MUN_JVUN,none_none_none,0
4,21,Ag,MUN,INFANT,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
4,22,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
4,23,Ag,FUN,MUN,none,none,none,Ag_FUN_MUN,none_none_none,0
5,1,none,none,none,Su,MUN,MUN,none_none_none,Su_MUN_MUN,0
5,2,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
5,3,Ag,MUN,MUN,none,none,none,Ag_MUN_MUN,none_none_none,0
5,4,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
5,5,Ag,MUN,FUN,none,none,none,Ag_MUN_FUN,none_none_none,0
5,6,Ag,MUN,MUN,Ag,MUN,JVUN,Ag_MUN_MUN,Ag_MUN_JVUN,0
5,7,Ag,MUN,FUN,Ag,MUN,JVUN,Ag_MUN_FUN,Ag_MUN_JVUN,0
5,8,Ag,FUN,MUN,Ag,MUN,FUN,Ag_FUN_MUN,Ag_MUN_FUN,0
5,9,Ag,MUN,FUN,none,none,none,Ag_MUN_FUN,none_none_none,0
5,10,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
5,11,Ag,MUN,FUN,Ag,MUN,JVUN,Ag_MUN_FUN,Ag_MUN_JVUN,0
5,12,SGr,MUN,self,none,none,none,SGr_MUN_self,none_none_none,0
5,13,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
5,14,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
5,15,Su,MUN,MUN,none,none,none,Su_MUN_MUN,none_none_none,0
5,16,M,MUN,MUN,M,MUN,MUN,M_MUN_MUN,M_MUN_MUN,1
5,17,M,MUN,MUN,M,MUN,FUN,M_MUN_MUN,M_MUN_FUN,0
5,18,none,none,none,M,MUN,FUN,none_none_none,M_MUN_FUN,0
5,19,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
5,20,Ag,MUN,MUN,Su,MUN,MUN,Ag_MUN_MUN,Su_MUN_MUN,0
5,21,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
5,22,Ag,MUN,FUN,Ag,MUN,JVUN,Ag_MUN_FUN,Ag_MUN_JVUN,0
5,23,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,1,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
6,2,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
6,3,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
6,4,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,5,Ag,MUN,JVUN,Ag,MUN,FUN,Ag_MUN_JVUN,Ag_MUN_FUN,0
6,6,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,7,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
6,8,Gr,MUN,FUN,SGr,MUN,self,Gr_MUN_FUN,SGr_MUN_self,0
6,9,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
6,10,Gr,FUN,MUN,Gr,FUN,MUN,Gr_FUN_MUN,Gr_FUN_MUN,1
6,11,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
6,12,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
6,13,M,MUN,FUN,SGr,MUN,self,M_MUN_FUN,SGr_MUN_self,0
6,14,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
6,15,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
6,16,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,17,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
6,18,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
7,1,Gr,MUN,FUN,Gr,MUN,FUN,Gr_MUN_FUN,Gr_MUN_FUN,1
7,2,Ag,SAMUN,FUN,SGr,MUN,self,Ag_SAMUN_FUN,SGr_MUN_self,0
7,3,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,4,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,5,SGr,MUN,self,SGr,MUN,self,SGr_MUN_self,SGr_MUN_self,1
7,6,Gr,FUN,MUN,none,none,none,Gr_FUN_MUN,none_none_none,0
7,7,SGr,MUN,self,none,none,none,SGr_MUN_self,none_none_none,0
7,8,SGr,MUN,self,Gr,MUN,FUN,SGr_MUN_self,Gr_MUN_FUN,0
7,9,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
7,10,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
7,11,Ag,MUN,MUN,none,none,none,Ag_MUN_MUN,none_none_none,0
7,12,Ag,FUN,MUN,Ag,MUN,MUN,Ag_FUN_MUN,Ag_MUN_MUN,0
7,13,Ag,MUN,FUN,Ag,MUN,MUN,Ag_MUN_FUN,Ag_MUN_MUN,0
7,14,Ag,MUN,JVUN,Ag,MUN,MUN,Ag_MUN_JVUN,Ag_MUN_MUN,0
7,15,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
7,16,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,17,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
7,18,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,19,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,20,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,21,Su,MUN,MUN,Su,MUN,MUN,Su_MUN_MUN,Su_MUN_MUN,1
7,22,Ag,MUN,MUN,Ag,FUN,FUN,Ag_MUN_MUN,Ag_FUN_FUN,0
7,23,Ag,MUN,FUN,none,none,none,Ag_MUN_FUN,none_none_none,0
7,24,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,25,Ag,MUN,JVUN,Ag,MUN,FUN,Ag_MUN_JVUN,Ag_MUN_FUN,0
7,26,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,27,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,28,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,29,Ag,MUN,JVUN,Ag,MUN,MUN,Ag_MUN_JVUN,Ag_MUN_MUN,0
7,30,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,31,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,32,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
7,33,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,34,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
7,35,Ag,FUN,MUN,Ag,FUN,MUN,Ag_FUN_MUN,Ag_FUN_MUN,1
7,36,Ag,MUN,FUN,Ag,MUN,JVUN,Ag_MUN_FUN,Ag_MUN_JVUN,0
7,37,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
7,38,Ag,MUN,JVUN,Ag,MUN,JVUN,Ag_MUN_JVUN,Ag_MUN_JVUN,1
8,1,Su,MUN,MUN,Su,MUN,MUN,Su_MUN_MUN,Su_MUN_MUN,1
8,2,Su,MUN,MUN,Ag,MUN,MUN,Su_MUN_MUN,Ag_MUN_MUN,0
8,3,Ag,MUN,MUN,Ag,MUN,MUN,Ag_MUN_MUN,Ag_MUN_MUN,1
8,4,Su,MUN,MUN,Ag,MUN,MUN,Su_MUN_MUN,Ag_MUN_MUN,0
8,5,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,6,Ag,MUN,FUN,Ag,MUN,FUN,none_none_none,Ag_MUN_FUN,1
8,7,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,8,Su,MUN,MUN,Su,MUN,MUN,Su_MUN_MUN,Su_MUN_MUN,1
8,9,Gr,FUN,MUN,Gr,FUN,MUN,Gr_FUN_MUN,Gr_FUN_MUN,1
8,10,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,11,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,12,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,13,M,MUN,FUN,M,MUN,FUN,M_MUN_FUN,M_MUN_FUN,1
8,14,none,none,none,M,MUN,FUN,none_none_none,M_MUN_FUN,0
8,15,Ag,MUN,JVUN,Ag,MUN,FUN,Ag_MUN_JVUN,Ag_MUN_FUN,0
8,16,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
8,17,Ag,MUN,FUN,Ag,MUN,FUN,Ag_MUN_FUN,Ag_MUN_FUN,1
